,year,city,country,avg_temp_local,MA_temp_local,avg_temp_global,MA_temp_global
0,1808,Cairo,Egypt,17.11,,7.63,
1,1809,Cairo,Egypt,19.87,,7.08,
2,1810,Cairo,Egypt,19.93,,6.92,
3,1811,Cairo,Egypt,20.0,,6.86,
4,1812,Cairo,Egypt,19.93,,7.05,
5,1813,Cairo,Egypt,20.51,,7.74,
6,1814,Cairo,Egypt,20.43,,7.59,
7,1815,Cairo,Egypt,20.3,,7.24,
8,1816,Cairo,Egypt,20.51,,6.94,
9,1817,Cairo,Egypt,21.88,20.047,6.98,7.203000000000001
10,1818,Cairo,Egypt,11.6,19.496,7.83,7.223000000000002
11,1819,Cairo,Egypt,20.31,19.54,7.37,7.2520000000000024
12,1820,Cairo,Egypt,20.58,19.604999999999997,7.62,7.322000000000003
13,1821,Cairo,Egypt,20.63,19.667999999999996,8.09,7.445000000000003
14,1822,Cairo,Egypt,20.72,19.746999999999993,8.19,7.559000000000003
15,1823,Cairo,Egypt,20.71,19.766999999999996,7.72,7.557000000000004
16,1824,Cairo,Egypt,21.44,19.867999999999995,8.55,7.653000000000003
17,1825,Cairo,Egypt,21.0,19.937999999999995,8.39,7.768000000000003
18,1826,Cairo,Egypt,20.94,19.980999999999995,8.36,7.910000000000004
19,1827,Cairo,Egypt,21.63,19.955999999999996,8.81,8.093000000000004
20,1828,Cairo,Egypt,20.99,20.894999999999996,8.17,8.127000000000004
21,1829,Cairo,Egypt,20.91,20.954999999999995,7.94,8.184000000000003
22,1830,Cairo,Egypt,21.25,21.022,8.52,8.274000000000003
23,1831,Cairo,Egypt,20.52,21.011,7.64,8.229000000000003
24,1832,Cairo,Egypt,20.2,20.958999999999996,7.45,8.155000000000003
25,1833,Cairo,Egypt,20.81,20.968999999999998,8.01,8.184000000000003
26,1834,Cairo,Egypt,20.69,20.894,8.15,8.144000000000004
27,1835,Cairo,Egypt,20.17,20.810999999999996,7.39,8.044000000000004
28,1836,Cairo,Egypt,20.59,20.775999999999996,7.7,7.978000000000004
29,1837,Cairo,Egypt,20.27,20.639999999999997,7.38,7.8350000000000035
30,1838,Cairo,Egypt,20.21,20.561999999999998,7.51,7.769000000000004
31,1839,Cairo,Egypt,20.43,20.514,7.63,7.738000000000004
32,1840,Cairo,Egypt,20.56,20.445,7.8,7.666000000000004
33,1841,Cairo,Egypt,20.91,20.483999999999998,7.69,7.671000000000004
34,1842,Cairo,Egypt,20.92,20.556,8.02,7.728000000000003
35,1843,Cairo,Egypt,20.83,20.558,8.17,7.744000000000002
36,1844,Cairo,Egypt,20.66,20.555,7.65,7.694000000000003
37,1845,Cairo,Egypt,20.9,20.627999999999997,7.85,7.740000000000002
38,1846,Cairo,Egypt,21.57,20.725999999999996,8.55,7.825000000000001
39,1847,Cairo,Egypt,21.1,20.808999999999994,8.09,7.896000000000003
40,1848,Cairo,Egypt,20.89,20.876999999999995,7.98,7.943000000000002
41,1849,Cairo,Egypt,20.9,20.923999999999996,7.98,7.978000000000003
42,1850,Cairo,Egypt,20.39,20.906999999999993,7.9,7.988000000000004
43,1851,Cairo,Egypt,21.11,20.926999999999996,8.18,8.037000000000003
44,1852,Cairo,Egypt,21.04,20.938999999999993,8.1,8.045000000000003
45,1853,Cairo,Egypt,21.53,21.008999999999993,8.04,8.032000000000004
46,1854,Cairo,Egypt,20.74,21.016999999999992,8.21,8.088000000000003
47,1855,Cairo,Egypt,21.04,21.03099999999999,8.11,8.114000000000003
48,1856,Cairo,Egypt,20.49,20.922999999999995,8.0,8.059000000000003
49,1857,Cairo,Egypt,20.29,20.84199999999999,7.76,8.026000000000003
50,1858,Cairo,Egypt,20.9,20.842999999999996,8.1,8.038000000000002
51,1859,Cairo,Egypt,20.98,20.850999999999992,8.25,8.065000000000001
52,1860,Cairo,Egypt,21.33,20.944999999999993,7.96,8.071000000000002
53,1861,Cairo,Egypt,20.21,20.854999999999997,7.85,8.038
54,1862,Cairo,Egypt,20.22,20.772999999999996,7.56,7.984
55,1863,Cairo,Egypt,20.6,20.679999999999996,8.11,7.991
56,1864,Cairo,Egypt,21.25,20.730999999999995,7.98,7.968000000000001
57,1865,Cairo,Egypt,21.55,20.781999999999996,8.18,7.975000000000001
58,1866,Cairo,Egypt,21.35,20.867999999999995,8.29,8.004000000000001
59,1867,Cairo,Egypt,21.45,20.983999999999995,8.44,8.072000000000001
60,1868,Cairo,Egypt,20.94,20.987999999999992,8.25,8.087000000000002
61,1869,Cairo,Egypt,21.41,21.030999999999995,8.43,8.105
62,1870,Cairo,Egypt,21.3,21.028,8.2,8.129000000000001
63,1871,Cairo,Egypt,20.87,21.093999999999998,8.12,8.156000000000002
64,1872,Cairo,Egypt,21.14,21.186,8.19,8.219000000000003
65,1873,Cairo,Egypt,21.4,21.266,8.35,8.243000000000002
66,1874,Cairo,Egypt,20.77,21.218,8.43,8.288
67,1875,Cairo,Egypt,19.99,21.062,7.86,8.256
68,1876,Cairo,Egypt,21.05,21.032000000000004,8.08,8.235
69,1877,Cairo,Egypt,21.39,21.026000000000003,8.54,8.245
70,1878,Cairo,Egypt,21.54,21.086000000000006,8.83,8.302999999999999
71,1879,Cairo,Egypt,21.49,21.094000000000005,8.17,8.276999999999997
72,1880,Cairo,Egypt,21.2,21.084000000000003,8.12,8.268999999999998
73,1881,Cairo,Egypt,21.56,21.153000000000002,8.27,8.283999999999997
74,1882,Cairo,Egypt,20.38,21.077000000000005,8.13,8.277999999999997
75,1883,Cairo,Egypt,20.65,21.002000000000002,7.98,8.240999999999998
76,1884,Cairo,Egypt,20.23,20.948,7.77,8.174999999999997
77,1885,Cairo,Egypt,20.91,21.04,7.92,8.180999999999997
78,1886,Cairo,Egypt,20.55,20.990000000000002,7.95,8.167999999999997
79,1887,Cairo,Egypt,21.21,20.972,7.91,8.104999999999999
80,1888,Cairo,Egypt,21.04,20.922000000000004,8.09,8.030999999999999
81,1889,Cairo,Egypt,21.05,20.878000000000004,8.32,8.046
82,1890,Cairo,Egypt,21.09,20.867000000000004,7.97,8.030999999999999
83,1891,Cairo,Egypt,21.13,20.824000000000005,8.02,8.005999999999998
84,1892,Cairo,Egypt,21.39,20.925000000000004,8.07,8.0
85,1893,Cairo,Egypt,20.57,20.917000000000005,8.06,8.008
86,1894,Cairo,Egypt,20.95,20.989000000000004,8.16,8.047
87,1895,Cairo,Egypt,20.97,20.995000000000005,8.15,8.07
88,1896,Cairo,Egypt,21.17,21.057000000000006,8.21,8.096
89,1897,Cairo,Egypt,20.82,21.018000000000004,8.29,8.134
90,1898,Cairo,Egypt,20.92,21.006000000000004,8.18,8.143
91,1899,Cairo,Egypt,21.04,21.005000000000003,8.4,8.151000000000002
92,1900,Cairo,Egypt,21.57,21.053,8.5,8.204000000000002
93,1901,Cairo,Egypt,21.89,21.129,8.54,8.256000000000002
94,1902,Cairo,Egypt,21.36,21.126000000000005,8.3,8.279000000000002
95,1903,Cairo,Egypt,20.39,21.108000000000004,8.22,8.295000000000002
96,1904,Cairo,Egypt,20.61,21.074000000000005,8.09,8.288000000000002
97,1905,Cairo,Egypt,21.03,21.080000000000005,8.23,8.296000000000003
98,1906,Cairo,Egypt,21.24,21.087000000000007,8.38,8.313000000000002
99,1907,Cairo,Egypt,20.45,21.050000000000004,7.95,8.279000000000002
100,1908,Cairo,Egypt,20.37,20.995000000000005,8.19,8.280000000000001
101,1909,Cairo,Egypt,21.4,21.031000000000006,8.18,8.258000000000001
102,1910,Cairo,Egypt,20.65,20.939000000000007,8.22,8.23
103,1911,Cairo,Egypt,20.78,20.82800000000001,8.18,8.194000000000003
104,1912,Cairo,Egypt,20.79,20.771000000000008,8.17,8.181000000000003
105,1913,Cairo,Egypt,20.4,20.77200000000001,8.3,8.189000000000004
106,1914,Cairo,Egypt,20.96,20.80700000000001,8.59,8.239000000000003
107,1915,Cairo,Egypt,21.57,20.86100000000001,8.59,8.275000000000002
108,1916,Cairo,Egypt,21.73,20.910000000000007,8.23,8.260000000000003
109,1917,Cairo,Egypt,21.12,20.97700000000001,8.02,8.267000000000003
110,1918,Cairo,Egypt,21.43,21.08300000000001,8.13,8.261000000000003
111,1919,Cairo,Egypt,21.43,21.08600000000001,8.38,8.281000000000002
112,1920,Cairo,Egypt,20.72,21.09300000000001,8.36,8.295000000000003
113,1921,Cairo,Egypt,20.73,21.088000000000008,8.57,8.334000000000003
114,1922,Cairo,Egypt,21.39,21.14800000000001,8.41,8.358000000000002
115,1923,Cairo,Egypt,21.39,21.24700000000001,8.42,8.370000000000003
116,1924,Cairo,Egypt,21.61,21.31200000000001,8.51,8.362000000000004
117,1925,Cairo,Egypt,21.37,21.29200000000001,8.53,8.356000000000003
118,1926,Cairo,Egypt,21.22,21.24100000000001,8.73,8.406000000000002
119,1927,Cairo,Egypt,21.76,21.30500000000001,8.52,8.456000000000003
120,1928,Cairo,Egypt,21.72,21.33400000000001,8.63,8.506000000000004
121,1929,Cairo,Egypt,21.07,21.29800000000001,8.24,8.492000000000003
122,1930,Cairo,Egypt,21.73,21.399000000000008,8.63,8.519000000000002
123,1931,Cairo,Egypt,21.6,21.486000000000008,8.72,8.534000000000002
124,1932,Cairo,Egypt,21.43,21.49000000000001,8.71,8.564000000000004
125,1933,Cairo,Egypt,21.24,21.475000000000012,8.34,8.556000000000004
126,1934,Cairo,Egypt,21.52,21.466000000000015,8.63,8.568000000000003
127,1935,Cairo,Egypt,21.61,21.490000000000016,8.52,8.567000000000004
128,1936,Cairo,Egypt,22.0,21.568000000000016,8.55,8.549000000000003
129,1937,Cairo,Egypt,21.82,21.574000000000016,8.7,8.567000000000004
130,1938,Cairo,Egypt,20.92,21.494000000000014,8.86,8.590000000000003
131,1939,Cairo,Egypt,21.85,21.572000000000013,8.76,8.642000000000005
132,1940,Cairo,Egypt,21.59,21.558000000000014,8.76,8.655000000000005
133,1941,Cairo,Egypt,21.76,21.574000000000016,8.77,8.660000000000005
134,1942,Cairo,Egypt,21.59,21.590000000000014,8.73,8.662000000000006
